Description,Exchange,Symbol,PointValue,Currency,Months,TickSize,Start,End,Sector,Notes
Test,TEST,TEST,100,USD,"3,6,9,12",0.01,1980,,Test,
Corn,CME,C,5000,USd,"3,5,7,9,12",0.25,1980,,Agricultural,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/corn_contract_specifications.html
Cotton,CME,TT,50000,USD,"3,5,7,10,12",0.0001,1980,2011,Agricultural,http://www.cmegroup.com/trading/agricultural/softs/cotton_contract_specifications.html
Lean hogs,CME,LN,40000,USd,"2,4,5,6,7,8,10,12",0.025,1980,,Agricultural,http://www.cmegroup.com/trading/agricultural/livestock/lean-hogs_contract_specifications.html
Live cattle,CME,LC,40000,USd,"2,4,6,8,10,12",0.025,1980,,Agricultural,http://www.cmegroup.com/trading/agricultural/livestock/live-cattle_contract_specifications.html
Lumber,CME,LB,110,USD,"1,3,5,7,9,11",0.1,1980,,Agricultural,http://www.cmegroup.com/trading/agricultural/lumber-and-pulp/random-length-lumber_contract_specifications.html
Oats,CME,O,5000,USd,"3,5,7,9,12",0.25,1980,,Agricultural,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/oats_contract_specifications.html
Rough rice,CME,RR,2000,USD,"1,3,5,7,9,11",0.005,1980,,Agricultural,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/rough-rice_contract_specifications.html
Soybeans,CME,S,5000,USd,"1,3,5,7,8,9,11",0.25,1980,,Agricultural,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/soybean_contract_specifications.html
Wheat,CME,W,5000,USd,"3,5,7,9,12",0.25,1980,,Agricultural,http://www.cmegroup.com/trading/agricultural/grain-and-oilseed/wheat_contract_specifications.html
Sugar,,,,,,,,,,
Copper,CME,HG,25000,USD,,0.0005,1980,2010,Commodities,http://www.cmegroup.com/trading/metals/base/copper_contract_specifications.html
CrudeOil,CME,CL,1000,USD,,0.01,1983,,Commodities,http://www.cmegroup.com/trading/energy/crude-oil/light-sweet-crude_contract_specifications.html
